"year","array","site","lat","long","n_weeks","deer_present","predator_detections","n_young","n_female","n_male","PC1","PC2","disturbance_index","linear_index","polygonal_index","roads","wells","well_gas","well_oil","well_bitumen","inactive_well","seismic","seismic_3D","harvest","pipeline","winter_year","mean_snow_lag1","mean_min_temp","winter_year_lag2","mean_snow_lag2","winter_year_lag3","mean_snow_lag3","mean_snow_temporal","mean_min_temp_temporal","mean_snow_spatial","mean_min_temp_spatial","snow_anomaly","temp_anomaly","predator_index"
2023,"LU13","LU13_38",0.988523292948335,-111.35448,16,0,3,0,0,0,-1.56107874823542,0.452022986033533,-0.809376489189871,-0.18035627644574,-0.824141502393249,0.037743316,0,0,0,0,0.006162351,0.008770183,0,0,0,2022,-0.915387662723304,-12.5041037735849,2021,0.529264779097383,2020,-0.429703883122783,13.6092764370338,-11.9164168494954,-0.374674271997372,-12.5205851302445,-0.638569762372824,0.0164813566595452,-0.443703129654984
2022,"LU13","LU13_38",0.988523292948335,-111.35448,2,0,0,0,0,0,-1.56107874823542,0.452022986033533,-0.809376489189871,-0.18035627644574,-0.824141502393249,0.037743316,0,0,0,0,0.006162351,0.008770183,0,0,0,2021,0.775793850155381,-13.4334433962264,2020,-0.0982334445922572,2019,-0.0763340937722801,38.0779451513822,-12.7932833479596,-0.31381317023856,-12.3034130842463,0.844849451324677,-1.13003031198008,-0.69669265133676
2022,"LU13","LU13_41",1.00443296255048,-111.18623,2,0,1,0,0,0,-1.36759387773331,-0.437330951110618,0.10475957612777,3.19347425051208,-0.915494438621171,0.038115569,0,0,0,0,0.003101183,0.00323983,6e-05,0,0.111781924,2021,1.25980079374647,-14.1163679245283,2020,0.265847951741535,2019,0.609769625590341,38.0779451513822,-12.7932833479596,0.657949560002321,-13.0165571098463,0.810386575336528,-1.09981081468202,-0.0220539268520248
2023,"LU13","LU13_41",1.00443296255048,-111.18623,16,0,2,0,0,0,-1.36759387773331,-0.437330951110618,0.10475957612777,3.19347425051208,-0.915494438621171,0.038115569,0,0,0,0,0.003101183,0.00323983,6e-05,0,0.111781924,2022,-0.715422639352443,-13.260141509434,2021,1.03783415659043,2020,0.0359494460137763,13.6092764370338,-11.9164168494954,0.569481319010977,-13.2400014724197,-0.913818157321539,-0.0201400370142952,-0.528032970215576
2022,"LU13","LU13_43",1.02314282543749,-111.15835,2,0,0,0,0,0,-1.84309739888054,-0.216961858288197,0.643895329898926,2.98594518816005,-0.260871911917844,0.037794294,0,0,0,0,0,0.002883533,0,0.077321172,0.1070441,2021,1.25219009083632,-14.0249528301887,2020,0.32652818446383,2019,0.495965072823282,38.0779451513822,-12.7932833479596,0.536590552076159,-12.9223137635287,0.861948938061495,-1.10263906665996,-0.69669265133676
2023,"LU13","LU13_43",1.02314282543749,-111.15835,16,0,0,0,0,0,-1.84309739888054,-0.216961858288197,0.643895329898926,2.98594518816005,-0.260871911917844,0.037794294,0,0,0,0,0,0.002883533,0,0.077321172,0.1070441,2022,-0.740115221942021,-13.1487264150943,2021,1.02983722495019,2020,0.113558334203197,13.6092764370338,-11.9164168494954,0.457546560262421,-13.1451215853021,-0.88206758877982,-0.00360482979221644,-0.69669265133676
2022,"LU13","LU13_45",1.03153197593172,-111.14605,2,0,0,0,0,0,-1.87152838644717,-0.0743764663440921,1.579240788182,2.85663849608223,0.800433950049784,0.037578821,0,0,0,0,0,0.002470103,0.002154446,0.246239715,0.097773082,2021,1.26285728651502,-14.0683490566038,2020,0.329588169954479,2019,0.529685118239802,38.0779451513822,-12.7932833479596,0.572872558933342,-12.9660079838503,0.854039810205897,-1.10234107275352,-0.69669265133676
2023,"LU13","LU13_45",1.03153197593172,-111.14605,16,0,1,0,0,0,-1.87152838644717,-0.0743764663440921,1.579240788182,2.85663849608223,0.800433950049784,0.037578821,0,0,0,0,0,0.002470103,0.002154446,0.246239715,0.097773082,2022,-0.731383924738351,-13.1900943396226,2021,1.04104576056677,2020,0.117471998689158,13.6092764370338,-11.9164168494954,0.491447640941932,-13.1881292362359,-0.890563147536696,-0.00196510338672162,-0.612362810776168
2023,"LU13","LU13_47",1.06776304822971,-111.09103,16,0,1,0,0,0,-2.00362064417986,-0.235665628244763,0.243527909350771,3.18307793149569,-0.760872024844089,0.051825491,0.0082,0,0,0,0.004599636,0.004182669,0.060386033,0,0.071444386,2022,-0.587462982636977,-13.8025471698113,2021,1.45796554632628,2020,0.561389213543078,13.6092764370338,-11.9164168494954,1.18180228316058,-13.7706403386352,-1.093870462996,-0.0319068311761708,-0.612362810776168
2022,"LU13","LU13_47",1.06776304822971,-111.09103,1,0,0,0,0,0,-2.00362064417986,-0.235665628244763,0.243527909350771,3.18307793149569,-0.760872024844089,0.051825491,0.0082,0,0,0,0.004599636,0.004182669,0.060386033,0,0.071444386,2021,1.65964104927878,-14.5908018867925,2020,0.67667470263387,2019,1.10985822050108,38.0779451513822,-12.7932833479596,1.28808362389897,-13.5495423671585,0.864952614079079,-1.04125951963396,-0.69669265133676
2022,"LU13","LU13_49",1.07489496908584,-111.07793,2,0,0,0,0,0,-1.8841760882919,-0.0458644675306754,0.168522615147071,2.96229802692195,-0.771447247412543,0.041958924,0.007013944,0,0,0,0.007673496,0.003359222,0.060393435,0,0.071722848,2021,1.69142713741227,-14.6390566037736,2020,0.705590996749992,2019,1.15703938107035,38.0779451513822,-12.7932833479596,1.35146870883323,-13.610933708808,0.862897738629438,-1.0281228949656,-0.69669265133676
2023,"LU13","LU13_49",1.07489496908584,-111.07793,16,0,10,0,0,0,-1.8841760882919,-0.0458644675306754,0.168522615147071,2.96229802692195,-0.771447247412543,0.041958924,0.007013944,0,0,0,0.007673496,0.003359222,0.060393435,0,0.071722848,2022,-0.582718415131403,-13.8731132075472,2021,1.49136471811306,2020,0.598372615488502,13.6092764370338,-11.9164168494954,1.23251331451433,-13.8325953021531,-1.11401703669141,-0.0405179053940987,0.146605754269159
2022,"LU13","LU13_51",0.955160990097284,-111.25424,2,0,0,0,0,0,-1.93373803198022,-0.151448917280187,-0.682472274790962,0.611927774509398,-0.941265360092031,0.012484689,0,0,0,0,0.001249671,0.00541221,0,0,0.047403305,2021,1.02006903954917,-13.7505660377358,2020,0.0866511062611155,2019,0.245387519200194,38.0779451513822,-12.7932833479596,0.163255701265549,-12.6203046886834,0.833888499067387,-1.13026134905243,-0.69669265133676
2023,"LU13","LU13_51",0.955160990097284,-111.25424,16,1,12,0,0,1,-1.93373803198022,-0.151448917280187,-0.682472274790962,0.611927774509398,-0.941265360092031,0.012484689,0,0,0,0,0.001249671,0.00541221,0,0,0.047403305,2022,-0.837086136463621,-12.8646698113208,2021,0.785936470799292,2020,-0.193239983902124,13.6092764370338,-11.9164168494954,0.0802432178776927,-12.845628918223,-0.78733313806414,-0.0190408930977135,0.315265435390343
2022,"LU13","LU13_52",0.987974683651706,-111.41942,2,0,9,0,0,0,-1.78187242130443,0.3542099844625,-0.349925425540283,-0.124792917987846,-0.341213173481409,0.039777005,0,0,0,0,0.0129324,0.011707817,0,0.064842387,0,2021,0.672670441964556,-13.3455660377358,2020,-0.13408115565622,2019,-0.149332539434632,38.0779451513822,-12.7932833479596,-0.428001349891957,-12.2212376704413,0.807530734844496,-1.12432836729459,5.37505586902586
2023,"LU13","LU13_52",0.987974683651706,-111.41942,16,0,6,0,0,0,-1.78187242130443,0.3542099844625,-0.349925425540283,-0.124792917987846,-0.341213173481409,0.039777005,0,0,0,0,0.0129324,0.011707817,0,0.064842387,0,2022,-0.961062655129366,-12.4155188679245,2021,0.420908053635037,2020,-0.475552438327607,13.6092764370338,-11.9164168494954,-0.487496572286871,-12.4364171492581,-0.625160206771271,0.0208982813335989,-0.190713607973209
2023,"LU13","LU13_53",0.987448933075776,-111.2645,16,0,2,0,0,0,-2.00777352606422,-0.247512816411868,-0.719184046694008,0.239221418990919,-0.861110513840814,0.03764856,0,0,0,0,0.001249686,0.001742659,0,0,0.031997094,2022,-0.854142874604402,-12.8328301886792,2021,0.731969447460215,2020,-0.229811165920274,13.6092764370338,-11.9164168494954,0.0214291852859293,-12.830862207338,-0.774302002838297,-0.00196798134126119,-0.528032970215576
2022,"LU13","LU13_53",0.987448933075776,-111.2645,2,0,1,0,0,0,-2.00777352606422,-0.247512816411868,-0.719184046694008,0.239221418990919,-0.861110513840814,0.03764856,0,0,0,0,0.001249686,0.001742659,0,0,0.031997094,2021,0.96870846776285,-13.7368867924528,2020,0.0580571154494653,2019,0.217379560120789,38.0779451513822,-12.7932833479596,0.103627223445003,-12.6098793519438,0.816628005255094,-1.12700744050907,-0.0220539268520248
2022,"LU13","LU13_55",0.988569010389719,-111.30484,1,0,0,0,0,0,-1.34915960647035,0.961568125010203,-0.083196559556536,-0.403666263581486,0.0394647449096814,0.037785636,0,0,0,0,0.003749185,0.002641229,0,0.131945919,0,2021,0.835443946395045,-13.538679245283,2020,-0.0627232040470925,2019,0.0159960889973726,38.0779451513822,-12.7932833479596,-0.188133797176686,-12.407149757045,0.837756201642561,-1.13152948823799,-0.69669265133676
2023,"LU13","LU13_55",0.988569010389719,-111.30484,16,0,1,0,0,0,-1.34915960647035,0.961568125010203,-0.083196559556536,-0.403666263581486,0.0394647449096814,0.037785636,0,0,0,0,0.003749185,0.002641229,0,0.131945919,0,2022,-0.89227181377109,-12.6130188679245,2021,0.591942004525033,2020,-0.384286946430043,13.6092764370338,-11.9164168494954,-0.257840206699097,-12.6255377292464,-0.674087064014378,0.0125188613219205,-0.612362810776168
2022,"LU13","LU13_56",1.02776028701742,-111.10345,2,0,1,0,0,0,-1.00871627270601,-0.0216165126726137,-0.0458132638809783,1.47507192599053,-0.525557412249313,0.026779129,0,0,0,0,0.003144545,0.010157922,0.038275061,0,0.054836908,2021,1.7177754699035,-14.5747169811321,2020,0.57257073529083,2019,1.10640406568494,38.0779451513822,-12.7932833479596,1.32114845122012,-13.5242269315862,0.901048304017667,-1.05049004954589,-0.0220539268520248
