"year","array","site","lat","long","n_weeks","deer_present","predator_detections","n_young","n_female","n_male","PC1","PC2","disturbance_index","linear_index","polygonal_index","roads","wells","well_gas","well_oil","well_bitumen","inactive_well","seismic","seismic_3D","harvest","pipeline","winter_year","mean_snow","mean_min_temp","winter_year_lag2","mean_snow_lag2","winter_year_lag3","mean_snow_lag3","mean_snow_temporal","mean_min_temp_temporal","mean_snow_spatial","mean_min_temp_spatial","snow_anomaly","temp_anomaly","predator_index"
2023,"LU01","LU01_44",54.59921,-110.47691,14,5,2,2,2,2,0.941954238015578,0.090196615983588,0.551311915,0.168648572,0.382663343,0.097008895,0.068739669,0,0,0.068739669,0.004416246,0.001097085,0.001668114,0,0.04079605,2022,19.5920283018868,-11.1196226415094,2021,56.2947641509434,2020,27.089336492891,13.6092764370338,-11.9164168494954,24.2941353208823,-10.9104572566265,-4.70210701899555,-0.209165384882983,0.142857142857143
2022,"LU01","LU01_44",54.59921,-110.47691,15,4,7,1,1,2,0.941954238015578,0.090196615983588,0.551311915,0.168648572,0.382663343,0.097008895,0.068739669,0,0,0.068739669,0.004416246,0.001097085,0.001668114,0,0.04079605,2021,56.2947641509434,-11.8189622641509,2020,27.089336492891,2019,17.1230046948357,38.0779451513822,-12.7932833479596,24.4214327906639,-10.6453144385976,31.8733313602795,-1.17364782555331,0.466666666666667
2022,"LU01","LU01_45",54.59816,-110.37065,15,11,4,3,4,2,0.901278575571381,0.0462827966262197,0.382653859,0.064047096,0.318606763,0.028458772,0.036274864,0,0,0.029827964,0.012707194,0.005100569,0.001938312,0.133002609,0.024645026,2021,58.4883962264151,-11.9471698113208,2020,28.3296208530806,2019,18.4068544600939,38.0779451513822,-12.7932833479596,25.594686222331,-10.7967355935013,32.8937100040841,-1.15043421781941,0.266666666666667
2023,"LU01","LU01_45",54.59816,-110.37065,14,11,2,6,3,1,0.901278575571381,0.0462827966262197,0.382653859,0.064047096,0.318606763,0.028458772,0.036274864,0,0,0.029827964,0.012707194,0.005100569,0.001938312,0.133002609,0.024645026,2022,21.9264150943396,-11.2204716981132,2021,58.4883962264151,2020,28.3296208530806,13.6092764370338,-11.9164168494954,25.5613769671429,-11.0578838955492,-3.63496187280332,-0.162587802564017,0.142857142857143
2022,"LU01","LU01_46",54.61668,-110.51263,15,5,10,0,2,4,-0.43746784797357,-0.058250990442983,0.542146361,0.187757766,0.354388595,0.089898673,0.063636647,0,0,0.063636647,0.000104407,0.003128422,0.008731372,0,0.057656004,2021,56.1006132075472,-11.8096226415094,2020,27.0508530805687,2019,17.0263849765258,38.0779451513822,-12.7932833479596,24.3064348206795,-10.6364366879198,31.7941783868677,-1.17318595358962,0.666666666666667
2023,"LU01","LU01_46",54.61668,-110.51263,14,10,17,0,2,10,-0.43746784797357,-0.058250990442983,0.542146361,0.187757766,0.354388595,0.089898673,0.063636647,0,0,0.063636647,0.000104407,0.003128422,0.008731372,0,0.057656004,2022,19.413820754717,-11.0743867924528,2021,56.1006132075472,2020,27.0508530805687,13.6092764370338,-11.9164168494954,24.1835085811382,-10.8991786370416,-4.76968782642119,-0.175208155411188,1.21428571428571
2022,"LU01","LU01_47",54.61784,-110.48721,15,10,9,4,6,4,0.871279489069853,-0.652676755692767,0.516886284,0.152157696,0.364728588,0.07826686,0.080804322,0,0,0.080804322,0.001248692,0,0.012864704,0,0.061015332,2021,56.810141509434,-11.8229245283019,2020,27.1631279620853,2019,17.1202816901408,38.0779451513822,-12.7932833479596,24.4702246202346,-10.645759388326,32.3399168891994,-1.17716513997585,0.6
2023,"LU01","LU01_47",54.61784,-110.48721,14,10,13,4,2,4,0.871279489069853,-0.652676755692767,0.516886284,0.152157696,0.364728588,0.07826686,0.080804322,0,0,0.080804322,0.001248692,0,0.012864704,0,0.061015332,2022,19.7839150943396,-11.0809433962264,2021,56.810141509434,2020,27.1631279620853,13.6092764370338,-11.9164168494954,24.3658174137021,-10.9080986727461,-4.58190231936248,-0.172844723480312,0.928571428571429
2022,"LU01","LU01_48",54.60776,-110.40762,15,9,14,0,3,5,0.390912867982275,-0.445516825556294,0.324851913,0.072911523,0.25194039,0.035432726,0.062072053,0,0,0.055506215,0.030053589,0.005517863,0.002781189,0,0.026767383,2021,56.7202358490566,-11.8453301886792,2020,27.3651658767773,2019,17.3806103286385,38.0779451513822,-12.7932833479596,24.4459958631992,-10.6587231326824,32.2742399858574,-1.18660705599687,0.933333333333333
2023,"LU01","LU01_48",54.60776,-110.40762,14,6,5,3,0,3,0.390912867982275,-0.445516825556294,0.324851913,0.072911523,0.25194039,0.035432726,0.062072053,0,0,0.055506215,0.030053589,0.005517863,0.002781189,0,0.026767383,2022,20.1124528301887,-11.1074056603774,2021,56.7202358490566,2020,27.3651658767773,13.6092764370338,-11.9164168494954,24.3935982758454,-10.9223029046245,-4.28114544565674,-0.185102755752865,0.357142857142857
2022,"LU01","LU01_60",54.69043,-110.50311,8,6,6,0,6,3,0.352563552862836,0.051153091306963,0.281198573,0.082857882,0.198340691,0.02836081,0.036157913,0.001820359,0,0.024784357,0.008998182,0.001715872,0,0.02458258,0.03057914,2021,59.0693396226415,-11.8618396226415,2020,27.685355450237,2019,17.1991079812207,38.0779451513822,-12.7932833479596,24.7966645180522,-10.6834627392906,34.2726751045893,-1.17837688335089,0.75
2022,"LU01","LU01_63",54.69512,-110.38139,15,10,6,0,4,4,-1.04500452215628,0.410162994205368,0.106834411,0.099565239,0.007269172,0.036191153,0,0,0,0,0.007269172,0.005197533,0,0,0.052614363,2021,58.9755660377358,-11.8767452830189,2020,27.7969668246445,2019,17.1494835680751,38.0779451513822,-12.7932833479596,24.5855842485292,-10.6640511423103,34.3899817892067,-1.21269414070859,0.4
2022,"LU01","LU01_64",54.69595,-110.31862,15,11,9,0,1,8,-0.649956439166324,0.0951863826124141,0.351217834,0.089411604,0.26180623,0.050412875,0.035005502,0,0,0.020938796,0.013590181,0.011657015,0.007092044,0.141894794,0.019792905,2021,59.3552358490566,-11.9043396226415,2020,27.9197630331754,2019,16.8451643192488,38.0779451513822,-12.7932833479596,24.7073386056491,-10.6847656952094,34.6478972434075,-1.21957392743215,0.6
2023,"LU01","LU01_64",54.69595,-110.31862,14,11,6,0,1,9,-0.649956439166324,0.0951863826124141,0.351217834,0.089411604,0.26180623,0.050412875,0.035005502,0,0,0.020938796,0.013590181,0.011657015,0.007092044,0.141894794,0.019792905,2022,22.0269811320755,-10.9687264150943,2021,59.3552358490566,2020,27.9197630331754,13.6092764370338,-11.9164168494954,24.8740253240153,-10.9374540120745,-2.84704419193986,-0.0312724030198108,0.428571428571429
2022,"LU01","LU01_66",54.70777,-110.72408,15,10,5,3,3,1,-0.575341777061607,-0.0832038004448595,0.375366074,0.113392342,0.261973732,0.046675474,0.0246066,0,0,0.007690882,0.038081071,0.003842807,0.024070167,0.000359612,0.037186585,2021,58.620141509434,-11.7546226415094,2020,26.8329383886256,2019,16.7018779342723,38.0779451513822,-12.7932833479596,24.1695012010449,-10.643856666319,34.4506403083891,-1.11076597519045,0.333333333333333
2023,"LU01","LU01_66",54.70777,-110.72408,14,9,2,1,2,3,-0.575341777061607,-0.0832038004448595,0.375366074,0.113392342,0.261973732,0.046675474,0.0246066,0,0,0.007690882,0.038081071,0.003842807,0.024070167,0.000359612,0.037186585,2022,19.6272641509434,-10.7621226415094,2021,58.620141509434,2020,26.8329383886256,13.6092764370338,-11.9164168494954,24.0434436953474,-10.8806992282658,-4.41617954440405,0.118576586756413,0.142857142857143
2023,"LU01","LU01_67",54.75274,-110.55328,14,9,25,1,3,5,1.48502650340434,-0.615331828389098,0.105921741,0.043711997,0.062209744,0.019767198,0.017151341,0,0,0.017151341,0.011898287,0.012000671,0,0,0.010987429,2022,21.8883962264151,-10.790141509434,2021,61.7594339622642,2020,28.5690995260663,13.6092764370338,-11.9164168494954,25.7110074984823,-11.0375382728929,-3.82261127206717,0.247396763458987,1.78571428571429
2022,"LU01","LU01_67",54.75274,-110.55328,15,8,16,0,3,5,1.48502650340434,-0.615331828389098,0.105921741,0.043711997,0.062209744,0.019767198,0.017151341,0,0,0.017151341,0.011898287,0.012000671,0,0,0.010987429,2021,61.7594339622642,-11.9360377358491,2020,28.5690995260663,2019,17.9180751173709,38.0779451513822,-12.7932833479596,25.7122032320604,-10.810944102381,36.0472307302038,-1.12509363346803,1.06666666666667
2022,"LU01","LU01_70",54.60699,-110.56893,15,13,4,7,8,2,0.122051965203274,-0.566473286669165,0.12013667,0.032750858,0.087385812,0.013387048,0.023619351,0,0,0.020823291,0.013257702,0.009329836,0,0,0.008549867,2021,56.0605660377358,-11.8098113207547,2020,27.1894786729858,2019,17.1534741784038,38.0779451513822,-12.7932833479596,24.4067968998582,-10.6578642703475,31.6537691378777,-1.15194705040717,0.266666666666667
2023,"LU01","LU01_71",54.63866,-110.50838,14,5,18,3,1,1,-1.15925060783469,0.158313962771068,0.378721838,0.121320322,0.257401516,0.051458484,0.030054249,0,0,0.030054249,0.02431946,0.005451669,0.004543677,0,0.051631078,2022,19.7650471698113,-11.0101886792453,2021,56.9066509433962,2020,27.2050236966825,13.6092764370338,-11.9164168494954,24.3229697496761,-10.9064496576548,-4.55792257986474,-0.103739021590489,1.28571428571429
2022,"LU01","LU01_71",54.63866,-110.50838,15,9,11,4,2,3,-1.15925060783469,0.158313962771068,0.378721838,0.121320322,0.257401516,0.051458484,0.030054249,0,0,0.030054249,0.02431946,0.005451669,0.004543677,0,0.051631078,2021,56.9066509433962,-11.8229245283019,2020,27.2050236966825,2019,17.0681220657277,38.0779451513822,-12.7932833479596,24.4188873565178,-10.6493304990209,32.4877635868784,-1.173594029281,0.733333333333333
2022,"LU01","LU01_72",54.65901,-110.41977,13,11,15,0,4,5,-0.766209758944846,-0.0213932728405251,0.12663153,0.081245188,0.045386342,0.030427223,0.002575522,0.002575522,0,0,0.017194612,0.011839025,0.000675483,0.006678533,0.038303457,2021,58.1892924528302,-11.8615566037736,2020,27.5462559241706,2019,17.36220657277,38.0779451513822,-12.7932833479596,24.5825449919049,-10.6662263236883,33.6067474609252,-1.19533028008529,1.15384615384615
2023,"LU01","LU01_73",54.67505,-110.70935,14,6,3,0,5,2,-1.14665025708313,0.739900472737972,0.133026333,0.045438503,0.08758783,0.013941925,0.026968738,0.002573317,0,0.018920443,0.025776165,0.020373774,0.000204917,0,0.010916427,2022,19.8885377358491,-10.9194811320755,2021,58.4340094339623,2020,27.4302369668246,13.6092764370338,-11.9164168494954,24.4675388723754,-10.9379482397734,-4.57900113652632,0.0184671076979566,0.214285714285714
2022,"LU01","LU01_73",54.67505,-110.70935,15,6,6,0,2,3,-1.14665025708313,0.739900472737972,0.133026333,0.045438503,0.08758783,0.013941925,0.026968738,0.002573317,0,0.018920443,0.025776165,0.020373774,0.000204917,0,0.010916427,2021,58.4340094339623,-11.7908018867925,2020,27.4302369668246,2019,17.2821126760563,38.0779451513822,-12.7932833479596,24.6097972856337,-10.6926945132979,33.8242121483286,-1.09810737349452,0.4
2022,"LU01","LU01_74",54.66743,-110.26517,15,5,6,0,3,1,-1.00565761925663,-0.511228614721645,0.201898946,0.050975703,0.150923243,0.00931029,0.000164675,0.000164675,0,0,0.007341488,0.010951467,0.0012147,0.074772601,0.026083812,2021,58.8116037735849,-11.8978301886792,2020,27.704028436019,2019,17.0174178403756,38.0779451513822,-12.7932833479596,24.6109818643352,-10.6736427864851,34.2006219092497,-1.2241874021941,0.4
2023,"LU01","LU01_74",54.66743,-110.26517,14,6,4,0,2,0,-1.00565761925663,-0.511228614721645,0.201898946,0.050975703,0.150923243,0.00931029,0.000164675,0.000164675,0,0,0.007341488,0.010951467,0.0012147,0.074772601,0.026083812,2022,21.5881603773585,-11.0070754716981,2021,58.8116037735849,2020,27.704028436019,13.6092764370338,-11.9164168494954,24.7384117236512,-10.9297362886071,-3.15025134629269,-0.0773391830910359,0.285714285714286
2022,"LU01","LU01_75",54.68616,-110.69173,15,6,3,1,4,1,-0.0470305124557784,0.573728735597619,0.299140584,0.096652235,0.202488349,0.05001006,0.020545064,0,0,0.014364371,0.038244381,0.012306856,0.000537447,0,0.032930231,2021,58.5594339622642,-11.7998113207547,2020,27.1396682464455,2019,17.2372769953052,38.0779451513822,-12.7932833479596,24.5597425287392,-10.68834174288,33.999691433525,-1.11146957787468,0.2
2023,"LU01","LU01_75",54.68616,-110.69173,14,4,6,0,0,3,-0.0470305124557784,0.573728735597619,0.299140584,0.096652235,0.202488349,0.05001006,0.020545064,0,0,0.014364371,0.038244381,0.012306856,0.000537447,0,0.032930231,2022,20.0291037735849,-10.9015094339623,2021,58.5594339622642,2020,27.1396682464455,13.6092764370338,-11.9164168494954,24.3996994659025,-10.9329561301758,-4.37059569231757,0.0314466962135267,0.428571428571429
2022,"LU01","LU01_76",54.70008,-110.70893,15,8,13,4,3,2,-0.242759697300665,-0.0842380111319231,0.582719198,0.208054169,0.374665029,0.0723552,0.038802767,0,0,0.027241031,0.00566812,0.011989889,0.006366881,0,0.081082321,2021,58.6370283018868,-11.769858490566,2020,26.9243601895735,2019,16.8680751173709,38.0779451513822,-12.7932833479596,24.3050868950871,-10.6570121102319,34.3319414067997,-1.11284638033409,0.866666666666667
2022,"LU01","LU01_77",54.70092,-110.53466,7,1,7,0,1,0,-0.189468851590196,1.03759885595758,0.416460341,0.081455376,0.335004965,0.060109879,0.013382863,0,0,0.013382863,0.004974411,0.003279358,0,0.081235695,0.014734259,2021,58.4195283018868,-11.8317452830189,2020,27.4767772511848,2019,16.8856807511737,38.0779451513822,-12.7932833479596,24.4773310256266,-10.6574491338734,33.9421972762602,-1.1742961491455,1
