"array","year","site","n_weeks","deer_present","wolf_present"
"LU09",2023,"LU09_76",2,1,0
"LU09",2023,"LU09_77",2,0,0
"LU09",2023,"LU09_79",2,1,0
"LU09",2023,"LU09_80",2,0,0
"LU09",2023,"LU09_81",2,1,0
"LU09",2023,"LU09_82",2,0,0
"LU09",2023,"LU09_85",2,0,0
"LU09",2023,"LU09_86",2,0,0
"LU09",2023,"LU09_87",2,1,0
"LU09",2023,"LU09_90",2,0,1
"LU09",2023,"LU09_93",2,2,0
"LU09",2023,"LU09_94",2,1,0
"LU09",2023,"LU09_96",2,0,0
"LU09",2023,"LU09_98",2,0,0
"LU09",2024,"LU09_05",14,0,0
"LU09",2024,"LU09_06",14,4,1
"LU09",2024,"LU09_07",14,4,1
"LU09",2024,"LU09_08",14,6,1
"LU09",2024,"LU09_100",14,1,0
"LU09",2024,"LU09_102",14,3,0
"LU09",2024,"LU09_106",14,1,0
"LU09",2024,"LU09_112",14,4,0
"LU09",2024,"LU09_113",14,0,0
"LU09",2024,"LU09_12",14,9,1
"LU09",2024,"LU09_13",14,2,1
"LU09",2024,"LU09_18",14,6,0
"LU09",2024,"LU09_21",14,10,0
"LU09",2024,"LU09_24",14,11,1
"LU09",2024,"LU09_27",14,4,1
"LU09",2024,"LU09_29",14,10,0
"LU09",2024,"LU09_30",14,10,2
"LU09",2024,"LU09_31",14,11,0
"LU09",2024,"LU09_32",14,7,0
"LU09",2024,"LU09_33",14,7,4
"LU09",2024,"LU09_39",14,1,0
"LU09",2024,"LU09_41",14,7,0
"LU09",2024,"LU09_44",14,0,0
"LU09",2024,"LU09_51",13,2,0
"LU09",2024,"LU09_55",14,5,0
"LU09",2024,"LU09_57",14,0,0
"LU09",2024,"LU09_62",14,14,0
"LU09",2024,"LU09_63",14,5,0
"LU09",2024,"LU09_64",14,5,1
"LU09",2024,"LU09_65",14,3,0
"LU09",2024,"LU09_67",14,0,0
"LU09",2024,"LU09_68",14,4,0
"LU09",2024,"LU09_72",14,9,2
"LU09",2024,"LU09_73",14,9,0
"LU09",2024,"LU09_75",14,2,0
"LU09",2024,"LU09_76",14,13,0
"LU09",2024,"LU09_77",14,9,0
"LU09",2024,"LU09_79",14,8,0
"LU09",2024,"LU09_80",14,7,0
"LU09",2024,"LU09_82",14,4,2
"LU09",2024,"LU09_85",14,5,0
"LU09",2024,"LU09_86",14,6,0
"LU09",2024,"LU09_87",14,3,0
"LU09",2024,"LU09_90",14,0,0
"LU09",2024,"LU09_93",14,11,0
"LU09",2024,"LU09_94",14,9,0
"LU09",2024,"LU09_96",14,2,0
"LU09",2024,"LU09_98",14,0,0
"LU13",2022,"LU13_03",1,0,0
"LU13",2022,"LU13_05",2,0,0
"LU13",2022,"LU13_06",2,0,0
"LU13",2022,"LU13_08",2,0,0
"LU13",2022,"LU13_11",2,0,0
"LU13",2022,"LU13_12",2,0,0
"LU13",2022,"LU13_128",2,0,1
"LU13",2022,"LU13_13",2,0,0
"LU13",2022,"LU13_131",2,0,0
"LU13",2022,"LU13_14",2,0,0
"LU13",2022,"LU13_15",1,0,0
"LU13",2022,"LU13_16",1,0,0
"LU13",2022,"LU13_17",2,0,0
"LU13",2022,"LU13_18",1,0,0
"LU13",2022,"LU13_19",2,0,0
"LU13",2022,"LU13_20",2,0,0
"LU13",2022,"LU13_21",1,0,0
"LU13",2022,"LU13_22",2,0,0
"LU13",2022,"LU13_26",2,0,0
"LU13",2022,"LU13_27",2,0,0
"LU13",2022,"LU13_30",2,0,0
"LU13",2022,"LU13_32",2,0,0
"LU13",2022,"LU13_33",2,0,0
"LU13",2022,"LU13_34",1,0,1
"LU13",2022,"LU13_35",2,0,1
"LU13",2022,"LU13_36",2,0,0
"LU13",2022,"LU13_37",1,0,0
"LU13",2022,"LU13_38",2,0,0
"LU13",2022,"LU13_41",2,0,0
"LU13",2022,"LU13_43",2,0,0
"LU13",2022,"LU13_45",2,0,0
